'Abe Kazue',
 'Fujimoto Hitoshi',
 'Fumizawa Ryuichi',
 'Hara Tamiki',
 'Hashioka Takeshi',
 'Hosoda Tamiki',
 'Hotta Yoshie',
 'Iida Momo',
 'Ikuguchi Juro',
 'Inoue Mitsuhara',
 'Ishida Koji',
 'Iwasaki Seiichiro',
 'Kajiyama Tohiyuki',
 'Kamezawa Miyuki',
 'Kanai Toshihiro',
 'Katsura Yoshihisa',
 'Kawakami Sokun',
 'Kokubo Hitoshi',
 'Kurita Tohei',
 'Kyo Kusao',
 'Nakai Masafumi',
 'Nakayama Shiro',
 'Nakazato Kisho',
 'Natsubori Masamoto',
 'Nishihara Kei',
 'Ochi Michio',
 'Oda Katsuzo',
 'Oda Makoto',
 'Oe Kenzaburo',
 'Saiki Hisao',
 'Takeda Taijun',
 'Tsukuda Jitsuo'
